Home,Away,Home_Score,Away_Score
Alettifaq,Alraed,1 , 1
Alhazem,Alwehda,0 , 0
Ohud,Alnasr,1 , 2
Alqadisiah,Alfatih,0 , 0
Alhilal,Alfaihaa,1 , 0
Alshabab,Alittihad,1 , 0
Alfaisali,Albatin,2 , 2
Alahli,Altaawon,1 , 1
Alettifaq,Albatin,3 , 2
Alfatih,Alwehda,0 , 0
Alhazem,Altaawon,1 , 1
Alnasr,Alfaisali,2 , 1
Alfaihaa,Alshabab,1 , 3
Ohud,Alahli,0 , 2
Alraed,Alhilal,1 , 3
Alittihad,Alqadisiah,0 , 3
Alqadisiah,Alnasr,0 , 3
Alshabab,Alfatih,1 , 1
Altaawon,Alittihad,5 , 3
Alhilal,Albatin,3 , 1
Alettifaq,Alfaihaa,3 , 0
Alfaisali,Ohud,2 , 0
Alahli,Alhazem,2 , 0
Alwehda,Alraed,4 , 1
Alfatih,Alhilal,2 , 3
Alnasr,Altaawon,1 , 0
Alittihad,Alwehda,2 , 2
Alettifaq,Ohud,0 , 0
Alhazem,Alfaisali,2 , 1
Alfaihaa,Alqadisiah,4 , 2
Alraed,Alshabab,1 , 1
Alahli,Albatin,2 , 0
Alfatih,Alittihad,2 , 0
Alfaihaa,Alraed,0 , 3
Altaawon,Alshabab,1 , 1
Ohud,Albatin,0 , 1
Alahli,Alfaisali,2 , 0
Alnasr,Alhazem,5 , 1
Alqadisiah,Alwehda,0 , 1
Alhazem,Alqadisiah,2 , 1
Alwehda,Alfaihaa,2 , 1
Alfaisali,Altaawon,1 , 4
Albatin,Alnasr,0 , 2
Alraed,Alfatih,0 , 3
Alittihad,Ohud,1 , 1
Alettifaq,Alahli,6 , 2
Alshabab,Alhilal,0 , 1
Alfaisali,Alraed,2 , 0
Alettifaq,Alhazem,1 , 0
Alahli,Alfatih,5 , 1
Alhilal,Alittihad,3 , 1
Alshabab,Alqadisiah,2 , 1
Albatin,Altaawon,0 , 5
Ohud,Alwehda,1 , 3
Alfaihaa,Alnasr,1 , 1
Alfatih,Alfaihaa,1 , 2
Alfaisali,Alettifaq,5 , 1
Albatin,Alhazem,1 , 0
Alwehda,Alshabab,0 , 1
Alittihad,Alraed,1 , 2
Alqadisiah,Alhilal,0 , 2
Ohud,Altaawon,1 , 0
Alnasr,Alahli,0 , 2
Alhilal,Alettifaq,4 , 1
Albatin,Alfatih,2 , 2
Alfaisali,Alshabab,0 , 0
Ohud,Alhazem,3 , 3
Alahli,Alqadisiah,0 , 2
Alfaihaa,Alittihad,2 , 1
Alwehda,Alhilal,0 , 3
Alettifaq,Alnasr,1 , 2
Alfatih,Ohud,4 , 0
Alfaihaa,Alhazem,1 , 1
Alwehda,Albatin,1 , 0
Alqadisiah,Alraed,3 , 1
Alnasr,Alshabab,1 , 0
Alettifaq,Altaawon,2 , 4
Alfaisali,Alhilal,1 , 1
Alittihad,Alahli,1 , 3
Alshabab,Alettifaq,2 , 2
Alqadisiah,Alfaisali,1 , 1
Alahli,Alfaihaa,1 , 1
Alfatih,Altaawon,0 , 2
Albatin,Alraed,1 , 3
Alnasr,Alwehda,1 , 2
Alittihad,Alhazem,2 , 2
Albatin,Alfaihaa,1 , 0
Alqadisiah,Alettifaq,2 , 0
Alshabab,Ohud,1 , 0
Alittihad,Alfaisali,1 , 2
Alwehda,Altaawon,0 , 1
Alhilal,Alnasr,2 , 2
Alfatih,Alhazem,3 , 2
Alraed,Alahli,0 , 0
Ohud,Alhilal,0 , 1
Alettifaq,Alwehda,2 , 1
Alfatih,Alfaisali,1 , 1
Alnasr,Alraed,4 , 0
Altaawon,Alfaihaa,3 , 0
Albatin,Alittihad,1 , 3
Alhilal,Alhazem,1 , 2
Alahli,Alshabab,0 , 1
Ohud,Alqadisiah,1 , 3
Alraed,Alhazem,1 , 0
Alfaisali,Alwehda,3 , 0
Alhilal,Alahli,4 , 3
Alshabab,Albatin,4 , 0
Alqadisiah,Altaawon,3 , 1
Alfatih,Alettifaq,0 , 0
Alittihad,Alnasr,1 , 2
Alfaihaa,Ohud,3 , 0
Alraed,Altaawon,2 , 1
Albatin,Alqadisiah,2 , 0
Alfaisali,Alfaihaa,1 , 0
Alfatih,Alnasr,0 , 0
Alhazem,Alshabab,1 , 3
Alwehda,Alahli,2 , 1
Alettifaq,Alittihad,1 , 0
Ohud,Alraed,0 , 1
Altaawon,Alhilal,2 , 2
Alfaisali,Alnasr,2 , 2
Altaawon,Alhazem,1 , 1
Alwehda,Alfatih,1 , 0
Alqadisiah,Alittihad,0 , 1
Alhilal,Alraed,1 , 1
Alshabab,Alfaihaa,4 , 1
Albatin,Alettifaq,0 , 0
Alahli,Ohud,5 , 1
Alfatih,Alqadisiah,2 , 0
Alfaihaa,Alhilal,1 , 5
Albatin,Alfaisali,2 , 0
Alnasr,Ohud,4 , 0
Alwehda,Alhazem,1 , 1
Altaawon,Alahli,3 , 4
Alraed,Alettifaq,1 , 2
Alittihad,Alshabab,0 , 0
Alqadisiah,Alfaihaa,2 , 0
Albatin,Alahli,1 , 2
Altaawon,Alnasr,3 , 1
Alfaisali,Alhazem,1 , 2
Ohud,Alettifaq,2 , 1
Alhilal,Alfatih,4 , 1
Alshabab,Alraed,1 , 1
Alwehda,Alittihad,0 , 2
Alnasr,Alqadisiah,3 , 1
Ohud,Alfaisali,4 , 1
Alhazem,Alahli,2 , 4
Alfaihaa,Alettifaq,1 , 1
Albatin,Alhilal,2 , 3
Alraed,Alwehda,1 , 3
Alfatih,Alshabab,1 , 0
Alittihad,Altaawon,0 , 0
Alhilal,Alqadisiah,4 , 1
Alahli,Alnasr,1 , 2
Alhazem,Albatin,1 , 0
Alettifaq,Alfaisali,3 , 4
Alfaihaa,Alfatih,1 , 2
Altaawon,Ohud,4 , 0
Alshabab,Alwehda,1 , 0
Alraed,Alittihad,1 , 1
Alfatih,Alahli,2 , 1
Alhazem,Alettifaq,1 , 1
Alittihad,Alhilal,0 , 2
Altaawon,Albatin,4 , 1
Alqadisiah,Alshabab,0 , 1
Alwehda,Ohud,4 , 1
Alraed,Alfaisali,0 , 3
Alnasr,Alfaihaa,1 , 0
Altaawon,Alettifaq,4 , 1
Ohud,Alfatih,0 , 0
Alshabab,Alnasr,0 , 1
Alraed,Alqadisiah,0 , 0
Alhilal,Alfaisali,2 , 1
Alahli,Alittihad,1 , 1
